DEBUG 2018-02-18 14:45:13,562 D:\Program Files (x86)\Python36-32\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
DEBUG 2018-02-18 14:45:13,563 D:\Program Files (x86)\Python36-32\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.001) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
DEBUG 2018-02-18 14:45:13,564 D:\Program Files (x86)\Python36-32\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.001) SELECT VERSION(); args=None
DEBUG 2018-02-18 14:45:40,097 D:\Program Files (x86)\Python36-32\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
DEBUG 2018-02-18 14:45:40,098 D:\Program Files (x86)\Python36-32\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
DEBUG 2018-02-18 14:45:40,099 D:\Program Files (x86)\Python36-32\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.000) SELECT VERSION(); args=None
DEBUG 2018-02-18 14:47:27,803 D:\Program Files (x86)\Python36-32\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
DEBUG 2018-02-18 14:47:27,804 D:\Program Files (x86)\Python36-32\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
DEBUG 2018-02-18 14:47:27,805 D:\Program Files (x86)\Python36-32\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.000) SELECT VERSION(); args=None
DEBUG 2018-02-18 14:47:30,499 D:\Program Files (x86)\Python36-32\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
DEBUG 2018-02-18 14:47:30,502 D:\Program Files (x86)\Python36-32\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.002) SHOW FULL TABLES; args=None
DEBUG 2018-02-18 14:48:01,765 D:\Program Files (x86)\Python36-32\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.001) SELECT @@SQL_AUTO_IS_NULL; args=None
DEBUG 2018-02-18 14:48:01,766 D:\Program Files (x86)\Python36-32\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
DEBUG 2018-02-18 14:48:01,767 D:\Program Files (x86)\Python36-32\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.000) SELECT @@sql_mode; args=None
DEBUG 2018-02-18 14:48:02,774 D:\Program Files (x86)\Python36-32\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.001) SELECT VERSION(); args=None
DEBUG 2018-02-18 14:48:03,243 D:\Program Files (x86)\Python36-32\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.001) SHOW FULL TABLES; args=None
DEBUG 2018-02-18 14:48:03,246 D:\Program Files (x86)\Python36-32\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.001) SHOW FULL TABLES; args=None
DEBUG 2018-02-18 14:48:03,254 D:\Program Files (x86)\Python36-32\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.002) SHOW FULL TABLES; args=None
DEBUG 2018-02-18 14:48:03,254 D:\Program Files (x86)\Python36-32\lib\site-packages\django\db\backends\base\schema.py schema.py schema execute 108: CREATE TABLE `django_migrations` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `app` varchar(255) NOT NULL, `name` varchar(255) NOT NULL, `applied` datetime NOT NULL); (params None)
DEBUG 2018-02-18 14:48:03,267 D:\Program Files (x86)\Python36-32\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.012) CREATE TABLE `django_migrations` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `app` varchar(255) NOT NULL, `name` varchar(255) NOT NULL, `applied` datetime NOT NULL); args=None
DEBUG 2018-02-18 14:48:03,270 D:\Program Files (x86)\Python36-32\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.002) SELECT engine FROM information_schema.tables WHERE table_name = 'django_migrations'; args=['django_migrations']
DEBUG 2018-02-18 14:48:03,273 D:\Program Files (x86)\Python36-32\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'django_migrations'; args=['django_migrations']
DEBUG 2018-02-18 14:48:03,274 D:\Program Files (x86)\Python36-32\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'django_migrations'; args=['django_migrations']
DEBUG 2018-02-18 14:48:03,276 D:\Program Files (x86)\Python36-32\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'django_migrations'; args=['django_migrations']
DEBUG 2018-02-18 14:48:03,281 D:\Program Files (x86)\Python36-32\lib\site-packages\django\db\backends\base\schema.py schema.py schema execute 108: CREATE TABLE `django_content_type` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(100) NOT NULL, `app_label` varchar(100) NOT NULL, `model` varchar(100) NOT NULL); (params None)
DEBUG 2018-02-18 14:48:03,291 D:\Program Files (x86)\Python36-32\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.010) CREATE TABLE `django_content_type` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(100) NOT NULL, `app_label` varchar(100) NOT NULL, `model` varchar(100) NOT NULL); args=None
DEBUG 2018-02-18 14:48:03,293 D:\Program Files (x86)\Python36-32\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.002) SELECT engine FROM information_schema.tables WHERE table_name = 'django_content_type'; args=['django_content_type']
DEBUG 2018-02-18 14:48:03,295 D:\Program Files (x86)\Python36-32\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'django_content_type'; args=['django_content_type']
DEBUG 2018-02-18 14:48:03,297 D:\Program Files (x86)\Python36-32\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'django_content_type'; args=['django_content_type']
DEBUG 2018-02-18 14:48:03,299 D:\Program Files (x86)\Python36-32\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'django_content_type'; args=['django_content_type']
DEBUG 2018-02-18 14:48:03,329 D:\Program Files (x86)\Python36-32\lib\site-packages\django\db\backends\base\schema.py schema.py schema execute 108: ALTER TABLE `django_content_type` ADD CONSTRAINT django_content_type_app_label_model_76bd3d3b_uniq UNIQUE (`app_label`, `model`); (params ())
DEBUG 2018-02-18 14:48:03,370 D:\Program Files (x86)\Python36-32\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.041) ALTER TABLE `django_content_type` ADD CONSTRAINT django_content_type_app_label_model_76bd3d3b_uniq UNIQUE (`app_label`, `model`); args=()
DEBUG 2018-02-18 14:48:03,373 D:\Program Files (x86)\Python36-32\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.003) SHOW FULL TABLES; args=None
DEBUG 2018-02-18 14:48:03,404 D:\Program Files (x86)\Python36-32\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.002) INSERT INTO `django_migrations` (`app`, `name`, `applied`) VALUES ('contenttypes', '0001_initial', '2018-02-18 06:48:03'); args=['contenttypes', '0001_initial', '2018-02-18 06:48:03']
DEBUG 2018-02-18 14:48:03,412 D:\Program Files (x86)\Python36-32\lib\site-packages\django\db\backends\base\schema.py schema.py schema execute 108: CREATE TABLE `auth_permission` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(50) NOT NULL, `content_type_id` integer NOT NULL, `codename` varchar(100) NOT NULL); (params None)
DEBUG 2018-02-18 14:48:03,423 D:\Program Files (x86)\Python36-32\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.010) CREATE TABLE `auth_permission` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(50) NOT NULL, `content_type_id` integer NOT NULL, `codename` varchar(100) NOT NULL); args=None
DEBUG 2018-02-18 14:48:03,426 D:\Program Files (x86)\Python36-32\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.002) SELECT engine FROM information_schema.tables WHERE table_name = 'auth_permission'; args=['auth_permission']
DEBUG 2018-02-18 14:48:03,428 D:\Program Files (x86)\Python36-32\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.002) SELECT engine FROM information_schema.tables WHERE table_name = 'auth_permission'; args=['auth_permission']
DEBUG 2018-02-18 14:48:03,430 D:\Program Files (x86)\Python36-32\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.002) SELECT engine FROM information_schema.tables WHERE table_name = 'auth_permission'; args=['auth_permission']
DEBUG 2018-02-18 14:48:03,432 D:\Program Files (x86)\Python36-32\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'auth_permission'; args=['auth_permission']
